agent_id,eVTOL_type,simulation_type,algorithm_type,Number_of_conflicts,Desired_time_of_departure,Actual_time_of_departure,Ideal_time_of_arrival,Actual_time_of_arrival,Time_required_for_preflight_calculation,Average_time_to_plan_avoidance,Total_planning_time,Location_of_weather_statistics
1190918,vector_thrust,strategic,Decoupled,1,4390.0,4390.0,5328.513513513513,5432.8378378378375,0.2249784469604492,,,
1190644,vector_thrust,strategic,Decoupled,0,5630.0,5630.0,6568.513513513513,6572.8378378378375,0.1741683483123779,,,
1195438,vector_thrust,strategic,Decoupled,0,4840.0,4840.0,5778.513513513513,5882.8378378378375,0.1999719142913818,,,
1190883,vector_thrust,strategic,Decoupled,0,1570.0,1570.0,2508.5135135135133,2512.837837837838,0.3317840099334717,,,
1190011,vector_thrust,strategic,Decoupled,0,480.0,480.0,1418.5135135135135,1422.837837837838,0.0799384117126464,,,
1193053,vector_thrust,strategic,Decoupled,0,2810.0,2810.0,3748.513513513513,3752.837837837838,0.3189704418182373,,,
1194434,vector_thrust,strategic,Decoupled,0,960.0,960.0,1898.513513513513,1902.837837837838,0.289247989654541,,,
1190926,vector_thrust,strategic,Decoupled,1,4390.0,4390.0,5328.513513513513,5492.8378378378375,0.2249784469604492,,,
1194885,vector_thrust,strategic,Decoupled,1,2700.0,2700.0,3638.513513513513,3682.837837837838,0.3817849159240722,,,
1195367,vector_thrust,strategic,Decoupled,0,4840.0,4840.0,5778.513513513513,5782.8378378378375,0.1999719142913818,,,
1193577,vector_thrust,strategic,Decoupled,0,2880.0,2880.0,3818.513513513513,3822.837837837838,0.3815622329711914,,,
1195765,vector_thrust,strategic,Decoupled,0,1440.0,1440.0,2378.5135135135133,2382.837837837838,0.2398779392242431,,,
1190909,vector_thrust,strategic,Decoupled,1,4390.0,4390.0,5328.513513513513,5352.8378378378375,0.2249784469604492,,,
1190202,vector_thrust,strategic,Decoupled,0,4240.0,4240.0,5178.513513513513,5182.8378378378375,0.2151103019714355,,,
1194894,vector_thrust,strategic,Decoupled,1,2700.0,2700.0,3638.513513513513,3762.837837837838,0.3817849159240722,,,
1195748,vector_thrust,strategic,Decoupled,1,4510.0,5533.4651677539605,5448.513513513513,6652.8378378378375,20.18319535255432,,,
1195759,vector_thrust,strategic,Decoupled,0,960.0,960.0,1898.513513513513,2032.8378378378377,0.3706510066986084,,,
1195375,vector_thrust,strategic,Decoupled,0,4840.0,4840.0,5778.513513513513,5792.8378378378375,0.1999719142913818,,,
1190874,vector_thrust,strategic,Decoupled,0,640.0,640.0,1578.5135135135135,1582.8378378378377,0.1175320148468017,,,
1195551,vector_thrust,strategic,Decoupled,0,3740.0,3740.0,4678.513513513513,4682.8378378378375,0.2783980369567871,,,
1194895,vector_thrust,strategic,Decoupled,1,2700.0,2700.0,3638.513513513513,3772.837837837838,0.3817849159240722,,,
1195718,vector_thrust,strategic,Decoupled,1,4510.0,5533.4651677539605,5448.513513513513,6602.8378378378375,20.18319535255432,,,
1195740,vector_thrust,strategic,Decoupled,0,5600.0,5600.0,6538.513513513513,6642.8378378378375,0.2104406356811523,,,
1193032,vector_thrust,strategic,Decoupled,0,640.0,640.0,1578.5135135135135,1582.837837837838,0.1605563163757324,,,
1190861,vector_thrust,strategic,Decoupled,0,6090.0,6090.0,7028.513513513513,7092.8378378378375,0.1925125122070312,,,
1195733,vector_thrust,strategic,Decoupled,1,4510.0,5533.4651677539605,5448.513513513513,6632.8378378378375,20.18319535255432,,,
1195417,vector_thrust,strategic,Decoupled,0,4840.0,4840.0,5778.513513513513,5852.8378378378375,0.1999719142913818,,,
1195745,vector_thrust,strategic,Decoupled,0,5600.0,5600.0,6538.513513513513,6652.8378378378375,0.2104406356811523,,,
1190851,vector_thrust,strategic,Decoupled,0,6090.0,6090.0,7028.513513513513,7072.8378378378375,0.1925125122070312,,,
1190924,vector_thrust,strategic,Decoupled,1,4390.0,4390.0,5328.513513513513,5482.8378378378375,0.2249784469604492,,,
1195761,vector_thrust,strategic,Decoupled,0,1120.0,1120.0,2058.5135135135133,2062.837837837838,0.2247250080108642,,,
1193060,vector_thrust,strategic,Decoupled,0,3430.0,3430.0,4368.513513513513,4372.8378378378375,0.2773783206939697,,,
1190881,vector_thrust,strategic,Decoupled,0,1440.0,1440.0,2378.5135135135133,2382.837837837838,0.3033664226531982,,,
1192371,vector_thrust,strategic,Decoupled,0,7260.0,7260.0,8198.513513513513,8202.837837837838,0.1241347789764404,,,
1193792,vector_thrust,strategic,Decoupled,0,780.0,780.0,1718.5135135135135,1722.837837837838,0.1372609138488769,,,
1195715,vector_thrust,strategic,Decoupled,0,5600.0,5600.0,6538.513513513513,6592.8378378378375,0.2104406356811523,,,
1194444,vector_thrust,strategic,Decoupled,0,2050.0,2050.0,2988.5135135135133,2992.837837837838,0.330735445022583,,,
1190900,vector_thrust,strategic,Decoupled,0,3380.0,3610.5830615097857,4318.513513513513,4552.8378378378375,0.2749006748199463,,,
1190841,vector_thrust,strategic,Decoupled,0,6090.0,6090.0,7028.513513513513,7052.8378378378375,0.1925125122070312,,,
1193589,vector_thrust,strategic,Decoupled,0,3740.0,3740.0,4678.513513513513,4712.837837837838,0.2230429649353027,,,
1195389,vector_thrust,strategic,Decoupled,0,4840.0,4840.0,5778.513513513513,5812.8378378378375,0.1999719142913818,,,
1190889,vector_thrust,strategic,Decoupled,0,2360.0,2360.0,3298.5135135135133,3302.837837837838,0.2868235111236572,,,
1194886,vector_thrust,strategic,Decoupled,1,2700.0,2700.0,3638.513513513513,3692.837837837838,0.3817849159240722,,,
1190895,vector_thrust,strategic,Decoupled,0,2940.0,2940.0,3878.513513513513,3882.837837837838,0.303173303604126,,,
1190928,vector_thrust,strategic,Decoupled,1,4390.0,4390.0,5328.513513513513,5512.8378378378375,0.2249784469604492,,,
1194931,vector_thrust,strategic,Decoupled,0,3150.0,3150.0,4088.513513513513,4092.837837837838,0.331223726272583,,,
1195674,vector_thrust,strategic,Decoupled,1,4510.0,5533.4651677539605,5448.513513513513,6502.8378378378375,20.18319535255432,,,
1194900,vector_thrust,strategic,Decoupled,1,2700.0,2700.0,3638.513513513513,3822.837837837838,0.3817849159240722,,,
1193575,vector_thrust,strategic,Decoupled,0,2810.0,2810.0,3748.513513513513,3752.837837837838,0.2563395500183105,,,
1195708,vector_thrust,strategic,Decoupled,1,4510.0,5533.4651677539605,5448.513513513513,6582.8378378378375,20.18319535255432,,,
1190879,vector_thrust,strategic,Decoupled,0,1400.0,1400.0,2338.5135135135133,2342.837837837838,0.2571563720703125,,,
1195705,vector_thrust,strategic,Decoupled,0,5600.0,5600.0,6538.513513513513,6572.8378378378375,0.2104406356811523,,,
1195431,vector_thrust,strategic,Decoupled,0,4840.0,4840.0,5778.513513513513,5872.8378378378375,0.1999719142913818,,,
1195677,vector_thrust,strategic,Decoupled,1,4510.0,5533.4651677539605,5448.513513513513,6512.8378378378375,20.18319535255432,,,
1190866,vector_thrust,strategic,Decoupled,0,6090.0,6090.0,7028.513513513513,7092.8378378378375,0.1925125122070312,,,
1195750,vector_thrust,strategic,Decoupled,0,5600.0,5600.0,6538.513513513513,6652.8378378378375,0.2104406356811523,,,
1195703,vector_thrust,strategic,Decoupled,1,4510.0,5533.4651677539605,5448.513513513513,6572.8378378378375,20.18319535255432,,,
1193574,vector_thrust,strategic,Decoupled,0,2580.0,2580.0,3518.5135135135133,3522.837837837838,0.2223472595214843,,,
1193989,vector_thrust,strategic,Decoupled,0,3310.0,3310.0,4248.513513513513,4252.8378378378375,0.3723177909851074,,,
1194898,vector_thrust,strategic,Decoupled,1,2700.0,2700.0,3638.513513513513,3802.837837837838,0.3817849159240722,,,
1195725,vector_thrust,strategic,Decoupled,0,5600.0,5600.0,6538.513513513513,6612.8378378378375,0.2104406356811523,,,
1193594,vector_thrust,strategic,Decoupled,0,4200.0,4200.0,5138.513513513513,5142.8378378378375,0.2082033157348632,,,
1190836,vector_thrust,strategic,Decoupled,0,6090.0,6090.0,7028.513513513513,7042.8378378378375,0.1925125122070312,,,
1195517,vector_thrust,strategic,Decoupled,0,480.0,480.0,1418.5135135135135,1422.837837837838,0.1706821918487548,,,
1193583,vector_thrust,strategic,Decoupled,0,3510.0,3510.0,4448.513513513513,4452.8378378378375,0.2579097747802734,,,
1195452,vector_thrust,strategic,Decoupled,0,4840.0,4840.0,5778.513513513513,5902.8378378378375,0.1999719142913818,,,
1195688,vector_thrust,strategic,Decoupled,1,4510.0,5533.4651677539605,5448.513513513513,6542.8378378378375,20.18319535255432,,,
1194881,vector_thrust,strategic,Decoupled,1,2700.0,2700.0,3638.513513513513,3642.837837837838,0.3817849159240722,,,
1190831,vector_thrust,strategic,Decoupled,0,6090.0,6090.0,7028.513513513513,7032.8378378378375,0.1925125122070312,,,
1190026,vector_thrust,strategic,Decoupled,0,2030.0,2030.0,2968.5135135135133,2972.837837837838,0.2349052429199218,,,
1194901,vector_thrust,strategic,Decoupled,1,2700.0,2700.0,3638.513513513513,3832.837837837838,0.3817849159240722,,,
