agent_id,eVTOL_type,simulation_type,algorithm_type,Number_of_conflicts,Desired_time_of_departure,Actual_time_of_departure,Ideal_time_of_arrival,Actual_time_of_arrival,Time_required_for_preflight_calculation,Average_time_to_plan_avoidance,Total_planning_time,Location_of_weather_statistics
1212423,vector_thrust,strategic,SIPP,1,3020.0,3020.0,3489.2567567567567,4752.668018977757,0.6119711399078369,,,
1211869,vector_thrust,strategic,SIPP,1,1660.0,1660.0,3285.5530889953857,4090.832265995474,0.9350016117095948,,,
1211406,vector_thrust,strategic,SIPP,0,3360.0,3360.0,4601.536679415107,4680.591471937754,1.038914680480957,,,
1211367,vector_thrust,strategic,SIPP,0,2870.0,2870.0,4495.553088995385,4502.031470063932,3.5374350547790527,,,
1212017,vector_thrust,strategic,SIPP,0,3430.0,3430.0,4368.513513513513,4543.1319412287385,0.5664126873016357,,,
1212894,vector_thrust,strategic,SIPP,3,1480.0,1480.0,2887.77027027027,3730.832265995474,0.6156694889068604,,,
1211905,vector_thrust,strategic,SIPP,0,3560.0,3560.0,4029.2567567567567,4202.802529443838,0.4610989093780517,,,
1211777,vector_thrust,strategic,SIPP,1,1660.0,1660.0,3285.5530889953857,3650.832265995474,0.9350016117095948,,,
1211453,vector_thrust,strategic,SIPP,2,2330.0,2330.0,3955.5530889953857,4220.832265995474,0.5902998447418213,,,
1212928,vector_thrust,strategic,SIPP,3,2530.0,2530.0,3468.5135135135133,3880.832265995474,0.8514628410339355,,,
1211674,vector_thrust,strategic,SIPP,0,4850.0,4850.0,5662.776544497692,5672.820347022567,2.081171751022339,,,
1212036,vector_thrust,strategic,SIPP,1,1750.0,1750.0,3375.5530889953857,4590.832265995474,1.057765007019043,,,
